Player,Nation,Pos,Squad,Age,Born,90s, Touches Att 3rd,Touches Att Pen box,Dribbles Attempted,Dribbles Succ%,Carries into the 1/3,SCA90,GCA90,Goals,Expected goals (xG),Non penalty Expected Goals (npxG),Progressive Distance,Assist,xA,Key passes
Lars Bender,de GER,DF,Leverkusen,31,1989,10.4,165,13,12,58.3,24,1.63,0.29,1,1.2,0.5,3771,2,0.5,7
Sven Bender,de GER,DF,Leverkusen,31,1989,13,22,12,3,33.3,1,0.92,0.15,0,0.1,0.1,4943,0,0.4,4
László Bénes,sk SVK,"MF,FW",Augsburg,22,1997,7.3,102,8,7,42.9,4,3.14,0.14,1,0.4,0.4,1041,1,0.6,9
László Bénes,sk SVK,MF,M'Gladbach,22,1997,1.7,32,2,1,0,4,3.6,1.2,0,0.1,0.1,387,1,0.4,4
Ramy Bensebaini,dz ALG,DF,M'Gladbach,25,1995,20.1,231,33,22,72.7,14,0.99,0.2,4,2.3,1.6,7228,0,0.4,8
Nabil Bentaleb,dz ALG,MF,Schalke 04,25,1994,6.1,64,4,10,80,6,0.66,0,0,0.8,0,961,0,0.1,1
Louis Beyer,de GER,DF,M'Gladbach,20,2000,2.1,5,0,2,100,1,0.96,0,0,0,0,476,0,0,0
Bartosz Bialek,pl POL,"FW,MF",Wolfsburg,18,2001,3,53,23,5,20,2,3.33,0.67,2,2.1,2.1,327,0,0.2,4
Ermin Bičakčić,ba BIH,DF,Hoffenheim,30,1990,1.4,8,2,0,,3,0,0,1,0.4,0.4,373,0,0,0
Leonardo Bittencourt,de GER,"MF,FW",Werder Bremen,26,1993,16.8,347,49,39,46.2,32,2.68,0.24,4,4.4,3.7,1919,1,1.3,20
Jérôme Boateng,de GER,DF,Bayern Munich,31,1988,26.3,83,15,7,85.7,27,0.57,0.11,1,0.3,0.3,12361,1,0.6,6
Jean-Paul Boëtius,nl NED,"MF,FW",Mainz 05,26,1994,22.9,393,56,40,67.5,23,2.62,0.31,2,2.8,2.8,3175,4,6,32
Melayro Bogarde,nl NED,"DF,MF",Hoffenheim,18,2002,3.1,49,3,6,50,2,2.6,0.32,0,0.1,0.1,900,1,0.2,4
Elias Bördner,de GER,GK,Eint Frankfurt,18,2002,1,0,0,0,,0,0,0,0,0,0,482,0,0,0
Dennis Borkowski,de GER,MF,RB Leipzig,18,2002,0.1,5,1,1,0,0,8.18,0,0,0,0,0,0,0,0
Sebastiaan Bornauw,be BEL,DF,Köln,21,1999,23.1,40,23,6,66.7,2,0.09,0.04,1,1.3,1.3,5271,1,0,1
Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,21,1999,6.7,105,23,11,63.6,7,2.08,0,1,1.4,1.4,499,0,0.2,4
